-10.98,0
-12.24,0
-14.76,0
-19.58,0
-19.41,0
-17.91,0
-15.64,0
-12.10,0
-10.36,0
-9.36,0
-9.13,0
-8.63,0
-8.25,0
-6.79,0
-5.17,0
-4.29,0
-2.79,0
-1.18,0
-0.27,0
0.94,0
0.65,0
1.62,200
3.44,0
4.17,0
-2.03,0
-11.43,0
-15.13,0
-16.51,0
-16.16,0
-14.88,0
-13.37,0
-12.99,0
-12.91,0
-12.31,0
-12.17,0
-9.99,0
-8.40,0
-6.51,0
-5.37,0
-3.06,0
-1.67,0
-0.59,0
0.91,0
2.19,0
3.94,0
5.12,0
3.67,0
-6.15,0
-12.73,0
-15.09,0
-15.85,0
-15.30,200
-14.11,0
-13.50,0
-13.11,0
-13.45,0
-13.39,0
-11.73,0
-9.86,0
-7.61,0
-5.33,0
-3.73,0
-2.40,0
-0.76,0
0.51,0
1.86,0
2.39,0
2.74,0
2.60,0
1.43,0
-4.25,0
-20.09,0
-29.44,0
-32.86,0
-33.36,0
-33.64,0
-32.62,200
-31.46,0
-30.84,0
-30.82,0
-30.56,0
-28.27,0
-26.05,0
-23.37,0
-21.44,0
-19.13,0
-16.23,0
-14.23,0
-12.24,0
-11.05,0
-9.41,0
-7.75,0
-5.51,0
-4.33,0
-3.74,0
-5.64,0
-14.90,0
-20.38,0
-22.88,0
-23.73,0
-23.49,0
-21.89,0
-20.46,0
-19.30,0
-18.71,0
-18.92,0
